Rank,Name,Net Worth,Age,Source,Country of Citizenship
480,John Morris,4.4 ,70,sporting goods retail,United States
480,Theo Mueller,4.4 ,78,dairy,Germany
480,Akio Nitori,4.4 ,74,home furnishings,Japan
480,Wolfgang Reimann,4.4 ,65,consumer goods,Germany
480,Matthias Reimann-Andersen,4.4 ,53,consumer goods,Germany
480,Stefan Reimann-Andersen,4.4 ,54,consumer goods,Germany
480,Renate Reimann-Haas,4.4 ,66,consumer goods,Germany
480,Robert Smith,4.4 ,55,private equity,United States
480,Russ Weiner,4.4 ,48,energy drinks,United States
499,Jeronimo Arango,4.3 ,92,retail,Mexico
499,Rahul Bajaj,4.3 ,80,motorcycles,India
499,Rainer Blickle,4.3 ,70,auto parts,Germany
499,Rocco Commisso,4.3 ,68,telecom,United States
499,Giuseppe De'Longhi,4.3 ,79,coffee makers,Italy
499,Tilman Fertitta,4.3 ,60,"Houston Rockets, entertainment",United States
499,Nathan Kirsh,4.3 ,86,"retail, real estate",Swaziland
499,Terrence Pegula,4.3 ,67,natural gas,United States
499,Robert Pera,4.3 ,40,wireless networking gear,United States
499,Gary Rollins,4.3 ,73,pest control,United States
499,Randall Rollins,4.3 ,86,pest control,United States
499,Alejandro Santo Domingo,4.3 ,41,beer,United States
499,Andres Santo Domingo,4.3 ,40,beer,United States
499,Pham Nhat Vuong,4.3 ,49,diversified,Vietnam
499,Roger Wang,4.3 ,69,retail,United States
514,Stephen Bisciotti,4.2 ,58,"staffing, Baltimore Ravens",United States
514,"Austen Cargill, II.",4.2 ,67,Cargill,United States
514,"James Cargill, II.",4.2 ,69,Cargill,United States
514,Archie Aldis Emmerson,4.2 ,89,"timberland, lumber mills",United States
514,Antti Herlin,4.2 ,61,"elevators, escalators",Finland
514,Sumet Jiaravanon,4.2 ,83,diversified,Thailand
514,Lars Larsen,4.2 ,69,retail,Denmark
514,Marianne Liebmann,4.2 ,64,Cargill,United States
514,Bobby Murphy,4.2 ,29,Snapchat,United States
514,Igor Olenicoff,4.2 ,75,real estate,United States
514,"Walter Scott, Jr.",4.2 ,87,"utilities, telecom",United States
514,"Clemmie Spangler, Jr.",4.2 ,86,investments,United States
514,Wang Yusuo,4.2 ,54,natural gas distribution,China
527,Carl Bennet,4.1 ,66,investments,Sweden
527,Arthur Blank,4.1 ,75,Home Depot,United States
527,Jaran Chiaravanont,4.1 ,88,diversified,Thailand
527,Jack & Laura Dangermond,4.1 ,72,mapping software,United States
527,Fan Hongwei,4.1 ,51,petrochemicals,China
527,John Gandel,4.1 ,83,shopping malls,Australia
527,James Jannard,4.1 ,69,sunglasses,United States
527,Montri Jiaravanont,4.1 ,87,diversified,Thailand
527,Samuel Tak Lee,4.1 ,79,real estate,Hong Kong
527,Pawan Munjal,4.1 ,64,motorcycles,India
527,Axel Oberwelland,4.1 ,51,candy,Germany
527,James Packer,4.1 ,50,casinos,Australia
527,Isaac Perlmutter,4.1 ,75,Marvel comics,United States
527,"H. Ross Perot, Sr.",4.1 ,87,"computer services, real estate",United States
527,Michael Pieper,4.1 ,72,kitchen appliances,Switzerland
527,Thomas Pritzker,4.1 ,68,"hotels, investments",United States
527,"Julian Robertson, Jr.",4.1 ,85,hedge funds,United States
527,Renzo Rosso,4.1 ,62,fashion,Italy
527,Hussain Sajwani,4.1 ,65,real estate,United Arab Emirates
527,Yasumitsu Shigeta,4.1 ,53,mobile phone retailer,Japan
527,Evan Spiegel,4.1 ,28,Snapchat,United States
527,Wang Xing,4.1 ,45,e-commerce,China
527,Kelcy Warren,4.1 ,62,pipelines,United States
550,Ben Ashkenazy,4 ,48,real estate,United States
550,Ursula Bechtolsheimer-Kipp,4 ,-,retail,Germany
550,Otto Philipp Braun,4 ,40,medical technology,Germany
550,Che Jianxing,4 ,51,furniture retailing,China
550,Dagmar Dolby,4 ,76,Dolby Laboratories,United States
550,Traudl Engelhorn,4 ,91,"pharmaceuticals, medical equipment",Germany
550,Dan Friedkin,4 ,53,Toyota dealerships,United States
550,Sergei Galitsky,4 ,50,retail,Russia
550,Huang Rulun,4 ,66,real estate,China
550,Erman Ilicak,4 ,50,construction,Turkey
550,Ronald Lauder,4 ,74,Estee Lauder,United States
550,Michel Leclercq,4 ,79,sporting goods,France
550,Michael Moritz,4 ,63,venture capital,United States
550,Issad Rebrab,4 ,74,food,Algeria
550,Naguib Sawiris,4 ,64,telecom,Egypt
550,Richard Schulze,4 ,77,Best Buy,United States
550,B.R. Shetty,4 ,76,healthcare,India
550,Jeff Sutton,4 ,58,real estate,United States
550,Tony Tan Caktiong,4 ,65,food,Philippines
550,Yu Huijiao,4 ,52,package delivery,China
550,Zhang Xuexin,4 ,70,aluminum,China
550,Zhang Yiming,4 ,34,software,China
572,Suhail Bahwan,3.9 ,79,diversified,Oman
572,Rick Caruso,3.9 ,59,real estate,United States
572,Tom Gores,3.9 ,53,private equity,United States
572,Peter Hargreaves,3.9 ,71,financial services,United Kingdom
572,Daniela Herz,3.9 ,64,coffee,Germany
572,Guenter Herz,3.9 ,77,coffee,Germany
572,Masatoshi Ito,3.9 ,94,retail,Japan
572,Barry Lam,3.9 ,69,electronics,Taiwan
572,Sudhir & Samir Mehta,3.9 ,-,diversified,India
572,Ravi Pillai,3.9 ,64,construction,India
572,Stewart and Lynda Resnick,3.9 ,-,"agriculture, water",United States
572,Jerry Speyer,3.9 ,77,real estate,United States
572,Harry Stine,3.9 ,76,agriculture,United States
572,George Ty,3.9 ,85,banking,Philippines
572,Steven Udvar-Hazy,3.9 ,72,aircraft leasing,United States
572,Christoph Zeller,3.9 ,61,dental implants,Liechtenstein
588,Nathan Blecharczyk,3.8 ,35,Airbnb,United States
588,Hubert Burda,3.8 ,78,publishing,Germany
588,Chen Dongsheng,3.8 ,60,insurance,China
588,Brian Chesky,3.8 ,36,Airbnb,United States
588,Gustaf Douglas,3.8 ,80,investments,Sweden
588,Joe Gebbia,3.8 ,36,Airbnb,United States
588,Peter Gilgan,3.8 ,67,homebuilding,Canada
588,Jeff Greene,3.8 ,63,"real estate, investments",United States
588,Jiang Weiping,3.8 ,63,chemicals,China
588,Dominika & Sebastian Kulczyk,3.8 ,-,diversified,Poland
588,Li Wa,3.8 ,52,real estate,Hong Kong
588,Robert McNair,3.8 ,81,"energy, sports",United States
588,Masahiro Miki,3.8 ,62,shoes,Japan
588,Katharina Otto-Bernstein,3.8 ,-,real estate,Germany
588,Ira Rennert,3.8 ,84,investments,United States
588,Henry Samueli,3.8 ,63,semiconductors,United States
588,Zeng Fangqin,3.8 ,52,smartphone components,China
588,Zhang Jin,3.8 ,46,diversified,China
606,Nick Caporella,3.7 ,82,beverages,United States
606,Mark Cuban,3.7 ,59,online media,United States
606,Ken Fisher,3.7 ,67,money management,United States
606,Jaime Gilinski Bacal,3.7 ,60,banking,Colombia
606,Andreas Halvorsen,3.7 ,57,hedge funds,Norway
606,H. Fisk Johnson,3.7 ,60,cleaning products,United States
606,Imogene Powers Johnson,3.7 ,87,cleaning products,United States
606,S. Curtis Johnson,3.7 ,63,cleaning products,United States
606,Helen Johnson-Leipold,3.7 ,61,cleaning products,United States
606,Winifred Johnson-Marquart,3.7 ,59,cleaning products,United States
606,Viatcheslav Kantor,3.7 ,64,"fertilizer, real estate",Russia
606,Samvel Karapetyan,3.7 ,52,real estate,Russia
606,Marc Ladreit de Lacharriere,3.7 ,77,finance,France
606,Angela Leong,3.7 ,57,casinos,Hong Kong
606,Li Gaiteng,3.7 ,46,hair dryers,China
606,Mangal Prabhat Lodha,3.7 ,62,real estate,India
606,Michael Milken,3.7 ,71,investments,United States
606,Yuri Milner,3.7 ,56,tech investments,Russia
606,Andreas Struengmann,3.7 ,68,pharmaceuticals,Germany
606,Thomas Struengmann,3.7 ,68,pharmaceuticals,Germany
606,Tse Ping,3.7 ,66,pharmaceuticals,China
606,Yitzhak Tshuva,3.7 ,69,real estate,Israel
606,Samuel Yin,3.7 ,67,diversified,Taiwan
629,Michael Ashley,3.6 ,53,sports retailing,United Kingdom
629,Cao Longxiang,3.6 ,60,pharmaceuticals,China
629,Jeffery Hildebrand,3.6 ,59,oil,United States
629,Jiang Rensheng,3.6 ,64,vaccine production,China
629,"Edward Johnson, IV.",3.6 ,53,money management,United States
629,Elizabeth Johnson,3.6 ,55,money management,United States
629,Peter Kellogg,3.6 ,75,investments,United States
629,Lim Sung-Ki,3.6 ,78,pharmaceuticals,South Korea
629,Friedhelm Loh,3.6 ,71,manufacturing,Germany
629,Kiran Mazumdar-Shaw,3.6 ,65,biotech,India
629,Idan Ofer,3.6 ,62,"drilling, shipping",Israel
629,Karsanbhai Patel,3.6 ,74,consumer goods,India
629,Qin Yinglin,3.6 ,53,pig breeding,China
629,Qiu Guanghe,3.6 ,66,fashion retail,China
629,Sarath Ratanavadi,3.6 ,52,energy,Thailand
629,Rodger Riney,3.6 ,72,discount brokerage,United States
629,Steven Spielberg,3.6 ,71,Movies,United States
629,Gabriele Volkmann,3.6 ,-,auto parts,Germany
629,Arne Wilhelmsen,3.6 ,88,cruise ships,Norway
629,Xu Jingren,3.6 ,73,pharmaceuticals,China
629,Zhang Li,3.6 ,65,real estate,China
629,Zhang Xin,3.6 ,52,real estate,China
,,,,,
629,Anita Zucker,3.6 ,66,chemicals,United States
652,Carlo Benetton,3.5 ,74,"fashion retail, investments",Italy
652,Gilberto Benetton,3.5 ,77,"fashion retail, investments",Italy
652,Giuliana Benetton,3.5 ,80,"fashion retail, investments",Italy
652,Luciano Benetton,3.5 ,83,"fashion retail, investments",Italy
652,Chen Bang,3.5 ,52,hospitals,China
652,Kuldip Singh & Gurbachan Singh Dhingra,3.5 ,-,paints,India
652,Abilio dos Santos Diniz,3.5 ,81,retail,Brazil
652,Bernard Ecclestone,3.5 ,87,Formula One,United Kingdom
652,Judy Faulkner,3.5 ,74,health IT,United States
652,Gao Tianguo,3.5 ,66,"real estate, finance",China
652,Joshua Harris,3.5 ,53,private equity,United States
652,Arthur Irving,3.5 ,88,oil,Canada
652,Baba Kalyani,3.5 ,69,engineering,India
652,Dmitry Kamenshchik,3.5 ,50,airport,Russia
652,Douglas Leone,3.5 ,60,venture capital,United States
652,Edwin Leong,3.5 ,66,real estate,Hong Kong
652,Arnon Milchan,3.5 ,73,movie making,Israel
652,Maren Otto,3.5 ,-,"retail, real estate",Germany
652,Anthony Pritzker,3.5 ,57,"hotels, investments",United States
652,Jay Robert (J.B.) Pritzker,3.5 ,53,"hotels, investments",United States
652,Mitchell Rales,3.5 ,61,"manufacturing, investments",United States
652,Kjell Inge Rokke,3.5 ,59,"shipping, seafood",Norway
652,"Bernard Saul, II.",3.5 ,86,"banking, real estate",United States
652,Donald Sterling,3.5 ,84,real estate,United States
652,Tahir,3.5 ,66,diversified,Indonesia
652,Chairul Tanjung,3.5 ,56,diversified,Indonesia
652,Clemens Toennies,3.5 ,62,meat processing,Germany
679,Somphote Ahunai,3.4 ,51,energy,Thailand
679,Igor Altushkin,3.4 ,47,metals,Russia
,,,,,
679,Riley Bechtel,3.4 ,66,"engineering, construction",United States
679,"Stephen Bechtel, Jr.",3.4 ,93,"engineering, construction",United States
679,Mike Cannon-Brookes,3.4 ,38,software,Australia
679,Rafael Del Pino y Calvo-Sotelo,3.4 ,59,construction,Spain
679,Antonio Del Valle Ruiz,3.4 ,79,chemicals,Mexico
679,Scott Farquhar,3.4 ,38,software,Australia
679,Lindsay Fox,3.4 ,81,"logistics, real estate",Australia
679,Jimmy Haslam,3.4 ,64,"gas stations, retail",United States
679,Heidi Horten,3.4 ,77,retail,Austria
679,Min Kao,3.4 ,69,navigation equipment,United States
,,,,,
679,Melissa Ma,3.4 ,48,internet search,China
679,Rudolf Maag,3.4 ,72,medical devices,Switzerland
679,Alexander Ponomarenko,3.4 ,53,"real estate, airport",Russia
679,Carlos Rodriguez-Pastor,3.4 ,59,finance,Peru
679,Shashi & Ravi Ruia,3.4 ,-,diversified,India
679,Teddy Sagi,3.4 ,46,gambling software,Israel
679,Shaul Shani,3.4 ,63,telecom,Israel
679,Alexander Skorobogatko,3.4 ,50,"real estate, airport",Russia
679,Sun Guangxin,3.4 ,55,diversified,China
679,Rita Tong Liu,3.4 ,69,real estate,Hong Kong
,,,,,
679,Juan-Miguel Villar Mir,3.4 ,86,construction,Spain
679,Steve Wynn,3.4 ,76,"casinos, hotels",United States
703,Anil Agarwal,3.3 ,64,"mining, metals",India
703,Abdulla Al Futtaim,3.3 ,-,"auto dealers, investments",United Arab Emirates
703,John Arnold,3.3 ,44,hedge funds,United States
703,Sid Bass,3.3 ,76,"oil, investments",United States
703,Alain Bouchard,3.3 ,69,retail,Canada
703,John Brown,3.3 ,83,medical equipment,United States
703,Vanich Chaiyawan,3.3 ,86,"insurance, beverages",Thailand
703,Chen Lip Keong,3.3 ,70,"casinos, property, energy",Malaysia
703,Charles Cohen,3.3 ,66,real estate,United States
703,Ashwin Dani,3.3 ,75,paints,India
703,Rakesh Gangwal,3.3 ,64,airline,United States
703,Reid Hoffman,3.3 ,50,LinkedIn,United States
703,"Amos Hostetter, Jr.",3.3 ,81,cable television,United States
703,Zarakh Iliev,3.3 ,51,real estate,Russia
703,Ji Qi,3.3 ,51,"hotels, motels",China
703,Kenneth Langone,3.3 ,82,investments,United States
703,Li Sze Lim,3.3 ,61,real estate,Hong Kong
703,George Lindemann,3.3 ,82,investments,United States
703,Liu Zhongtian,3.3 ,54,aluminum products,China
703,Luo Liguo,3.3 ,62,chemicals,China
703,Mary Alice Dorrance Malone,3.3 ,68,Campbell Soup,United States
703,"Henry Nicholas, III.",3.3 ,58,semiconductors,United States
703,God Nisanov,3.3 ,46,real estate,Russia
703,Pat Stryker,3.3 ,62,medical equipment,United States
703,Alexander Svetakov,3.3 ,50,real estate,Russia
703,Hans Peter Wild,3.3 ,77,flavorings,Switzerland
729,Yvonne Bauer,3.2 ,41,media,Germany
729,Patrizio Bertelli,3.2 ,72,luxury goods,Italy
729,Neil Bluhm,3.2 ,80,real estate,United States
729,Andrew & Peggy Cherng,3.2 ,-,restaurants,United States
729,Scott Cook,3.2 ,65,software,United States
729,Leon G. Cooperman,3.2 ,75,hedge funds,United States
729,John Paul DeJoria,3.2 ,74,"hair products, tequila",United States
729,Martin Ebner,3.2 ,72,investments,Switzerland
729,Walter Faria,3.2 ,63,beer,Brazil
729,Sameer Gehlaut,3.2 ,44,finance,India
729,Tom Golisano,3.2 ,76,payroll services,United States
729,Otto Happel,3.2 ,70,engineering,Germany
729,Jiang Bin,3.2 ,51,acoustic components,China
729,Karel Komarek,3.2 ,49,lotteries,Czech Republic
729,Kurt Krieger,3.2 ,70,furniture retailing,Germany
729,Timur Kulibaev,3.2 ,51,banking,Kazakhstan
729,Dinara Kulibaeva,3.2 ,50,banking,Kazakhstan
729,Spiro Latsis,3.2 ,71,"banking, shipping",Greece
729,Daniel Loeb,3.2 ,56,hedge funds,United States
729,Luo Jye,3.2 ,92,tires,Taiwan
729,Ronald McAulay,3.2 ,82,energy,Hong Kong
729,Alain Merieux,3.2 ,80,pharmaceuticals,France
729,Hans Georg Naeder,3.2 ,56,prosthetics,Germany
729,Nie Tengyun,3.2 ,42,logistics,China
729,Daniel Och,3.2 ,57,hedge funds,United States
729,Miuccia Prada,3.2 ,69,luxury goods,Italy
729,Marc Rowan,3.2 ,55,private equity,United States
729,Haim Saban,3.2 ,73,"TV network, investments",United States
729,Alvaro Saieh Bendeck,3.2 ,68,banking,Chile
729,Michael & Reiner Schmidt-Ruthenbeck,3.2 ,75,retail,Germany
729,Lynn Schusterman,3.2 ,79,"oil & gas, investments",United States
729,Mark Shoen,3.2 ,67,U-Haul,United States
729,Michal Solowow,3.2 ,55,investments,Poland
729,Daniel Tsai,3.2 ,62,finance,Taiwan
729,Richard Tsai,3.2 ,61,finance,Taiwan
729,Frank Wang,3.2 ,37,drones,China
729,Meg Whitman,3.2 ,61,eBay,United States
766,John Catsimatidis,3.1 ,69,"oil, real estate",United States
766,Do Won & Jin Sook Chang,3.1 ,62,fashion retail,United States
766,Cheng Cheung Ling,3.1 ,54,pharmaceuticals,China
766,Barry Diller,3.1 ,76,online media,United States
766,Jack Dorsey,3.1 ,41,Twitter,United States
766,Yakir Gabay,3.1 ,52,real estate,Cyprus
766,Allan Goldman,3.1 ,75,real estate,United States
766,Jane Goldman,3.1 ,62,real estate,United States
766,Amy Goldman Fowler,3.1 ,64,real estate,United States
766,Daryl Katz,3.1 ,56,pharmacies,Canada
766,Diane Kemper,3.1 ,72,real estate,United States
766,Vladimir Kim,3.1 ,57,mining,Kazakhstan
766,Lai Meisong,3.1 ,47,package delivery,China
766,Manuel Lao Hernandez,3.1 ,74,gambling,Spain
766,James Leprino,3.1 ,80,cheese,United States
766,Liang Xinjun,3.1 ,50,conglomerate,China
766,Tom Morris,3.1 ,63,retail,United Kingdom
766,Thi Phuong Thao Nguyen,3.1 ,48,airlines,Vietnam
766,Rajan Raheja,3.1 ,64,diversified,India
766,Ren Jianhua,3.1 ,61,kitchen appliances,China
766,Richard Sands,3.1 ,67,Food & Beverage,United States
766,Kerry Stokes,3.1 ,77,"construction equipment, media",Australia
766,Donald Trump,3.1 ,72,"television, real estate",United States
766,Romesh T. Wadhwani,3.1 ,70,software,United States
766,Wang Jian,3.1 ,64,healthcare services,China
791,Clifford Asness,3 ,51,Investment Management,United States
791,Anne Beaufour,3 ,54,pharmaceuticals,France
791,Henri Beaufour,3 ,53,pharmaceuticals,France
791,Tom Benson,3 ,90,New Orleans Saints,United States
791,Jim Breyer,3 ,56,venture capital,United States
791,Alejandro Bulgheroni,3 ,73,oil & gas,Argentina
791,Hasmukh Chudgar,3 ,84,pharmaceuticals,India
791,Ennio Doris,3 ,77,financial services,Italy
791,Luis Frias,3 ,55,mobile payments,Brazil
791,Valentin Gapontsev,3 ,79,lasers,United States
791,Martin Haefner,3 ,64,"software, investments",Switzerland
791,Christopher Hohn,3 ,51,Hedge funds,United Kingdom
791,Johnelle Hunt,3 ,86,trucking,United States
791,Rakesh Jhunjhunwala,3 ,57,investments,India
791,Lu Xiangyang,3 ,55,"automobiles, batteries",China
791,John Middleton,3 ,63,tobacco,United States
791,Kazuo Okada,3 ,75,casinos,Japan
791,Jorge Perez,3 ,68,real estate,United States
791,Prasert Prasarttong-Osoth,3 ,85,hospitals,Thailand
791,Jean (Gigi) Pritzker,3 ,55,"hotels, investments",United States
791,Mochtar Riady,3 ,89,diversified,Indonesia
791,Arkady Rotenberg,3 ,66,"construction, pipes, banking",Russia
791,Michael Rubin,3 ,45,online retail,United States
791,Robert Sands,3 ,60,Food & Beverage,United States
791,Herbert Simon,3 ,83,real estate,United States
791,Robert Toennies,3 ,40,meat processing,Germany
791,Manuel Villar,3 ,68,real estate,Philippines
791,Don Vultaggio,3 ,66,AriZona Beverages,United States
791,Wang Zhenhua,3 ,56,real estate,China
791,Wu Kaiting,3 ,48,electronics,Hong Kong
791,Simon Xie,3 ,48,online payment service,China
822,Chuck Bundrant,2.9 ,76,fishing,United States
822,Cai Dongchen,2.9 ,65,pharmaceuticals,China
822,Jose and Francisco Jose Calderon Rojas,2.9 ,-,beverages,Mexico
822,Jason Chang,2.9 ,74,electronics,Singapore
822,Smita Crishna-Godrej,2.9 ,67,consumer goods,India
822,Ding Shizhong,2.9 ,47,sports apparel,China
822,Feng Hailiang,2.9 ,57,"copper, education",China
822,Gerald Ford,2.9 ,73,banking,United States
822,Philippe Foriel-Destezet,2.9 ,82,employment agency,France
822,Adi Godrej,2.9 ,76,consumer goods,India
822,Jamshyd Godrej,2.9 ,69,consumer goods,India
822,Nadir Godrej,2.9 ,67,consumer goods,India
822,Joseph Grendys,2.9 ,56,poultry processing,United States
822,Hedda im Brahm-Droege,2.9 ,63,consulting,Germany
822,Ke Zunhong,2.9 ,63,pharmaceuticals,China
822,Randal Kirk,2.9 ,64,pharmaceuticals,United States
822,Alicia Koplowitz,2.9 ,64,"construction, investments",Spain
822,Kwek Leng Beng,2.9 ,77,real estate,Singapore
822,Louis Le Duff,2.9 ,71,bakeries,France
822,Yusaku Maezawa,2.9 ,42,online retail,Japan
822,Sergio Mantegazza,2.9 ,90,travel,Switzerland
822,Hans Melchers,2.9 ,80,"chemicals, investments",Netherlands
822,Erwin Franz Mueller,2.9 ,85,drugstores,Germany
822,Rishad Naoroji,2.9 ,66,consumer goods,India
822,Husnu Ozyegin,2.9 ,73,"finance, diversified",Turkey
822,Prajogo Pangestu,2.9 ,74,petrochemicals,Indonesia
822,Jeff Rothschild,2.9 ,63,Facebook,United States
822,Thomas Siebel,2.9 ,65,business software,United States
822,Paul Singer,2.9 ,73,hedge funds,United States
822,Ralph Sonnenberg,2.9 ,84,blinds,Netherlands
822,Jon Stryker,2.9 ,60,medical equipment,United States
822,Georg Stumpf,2.9 ,45,"real estate, construction",Austria
822,Tsai Hong-tu,2.9 ,65,finance,Taiwan
822,Vincent Viola,2.9 ,62,electronic trading,United States
822,Radovan Vitek,2.9 ,47,real estate,Czech Republic
822,Wang Laichun,2.9 ,51,electronics components,China
822,Wang Laisheng,2.9 ,53,electronics components,China
859,Carlos Ardila Lülle,2.8 ,88,"soft drinks, diversified",Colombia
859,"William Conway, Jr.",2.8 ,68,private equity,United States
859,Daniel D'Aniello,2.8 ,71,private equity,United States
859,Jim Davis,2.8 ,58,staffing & recruiting,United States
859,Ding Shijia,2.8 ,54,sportswear,China
859,"John Dorrance, III.",2.8 ,74,Campbell Soup,Ireland
859,Doris Fisher,2.8 ,86,Gap,United States
859,John Fisher,2.8 ,57,Gap,United States
859,Caroline Hagen Kjos,2.8 ,34,conglomerate,Norway
859,Kieu Hoang,2.8 ,73,medical products,United States
859,Huang Shih Tsai,2.8 ,67,real estate,Hong Kong
859,H. Wayne Huizenga,2.8 ,80,investments,United States
859,Osman Kibar,2.8 ,47,biotech,United States
859,Aloke Lohia,2.8 ,59,petrochemicals,India
859,Taha Mikati,2.8 ,73,telecom,Lebanon
859,Philip Niarchos,2.8 ,64,art collection,Greece
859,Stefan Olsson,2.8 ,69,diversified,Sweden
859,Sebastian Piñera,2.8 ,68,investments,Chile
859,Penny Pritzker,2.8 ,59,"hotels, investments",United States
859,Nicolas Puech,2.8 ,75,Hermes,France
859,Chandru Raheja,2.8 ,77,real estate,India
859,David Rubenstein,2.8 ,68,private equity,United States
859,Shi Yuzhu,2.8 ,55,"online games, investments",China
859,Zygmunt Solorz-Zak,2.8 ,61,TV broadcasting,Poland
859,Tung Chee Chen,2.8 ,76,shipping,Hong Kong
859,Mark Walter,2.8 ,58,finance,United States
859,"William Wrigley, Jr.",2.8 ,54,chewing gum,United States
859,Mortimer Zuckerman,2.8 ,81,"real estate, media",United States
887,Mohed Altrad,2.7 ,70,"scaffolding, cement mixers",France
887,Anil Ambani,2.7 ,59,diversified,India
887,Roberto Angelini Rossi,2.7 ,69,"forestry, mining",Chile
887,Saeed Bin Butti Al Qebaisi,2.7 ,-,"hospitals, investments",United Arab Emirates
887,Pierre Chen,2.7 ,60,"art, electronics",Taiwan
887,Ray Davis,2.7 ,76,pipelines,United States
887,"Edward DeBartolo, Jr.",2.7 ,71,shopping centers,United States
887,Bennett Dorrance,2.7 ,72,Campbell Soup,United States
887,Eduardo Eurnekian,2.7 ,85,"airports, investments",Argentina
887,Piero Ferrari,2.7 ,73,automobiles,Italy
887,Fiona Geminder,2.7 ,53,manufacturing,Australia
887,Gu Yuhua,2.7 ,68,furniture,China
887,Don Hankey,2.7 ,75,auto loans,United States
887,Reed Hastings,2.7 ,57,Netflix,United States
887,Huang Wei,2.7 ,58,real estate,China
887,James Irsay,2.7 ,59,Indianapolis Colts,United States
887,Kim Beom-Su,2.7 ,52,online services,South Korea
887,Mustafa Kucuk,2.7 ,55,fashion retail,Turkey
887,Mohamed Mansour,2.7 ,70,diversified,Egypt
887,Najib Mikati,2.7 ,62,telecom,Lebanon
887,Ermirio Pereira de Moraes,2.7 ,86,diversified,Brazil
887,Bob Parsons,2.7 ,67,web hosting,United States
887,Krit Ratanarak,2.7 ,72,"media, real estate",Thailand
887,Helena Revoredo,2.7 ,71,security services,Spain
887,Phillip Ruffin,2.7 ,83,"casinos, real estate",United States
887,Howard Schultz,2.7 ,64,Starbucks,United States
887,E. Joe Shoen,2.7 ,68,U-Haul,United States
887,Thomas Straumann,2.7 ,54,dental implants,Switzerland
887,Lawrence Stroll,2.7 ,58,fashion investments,Canada
887,Andrew Tan,2.7 ,65,diversified,Philippines
887,Tsai Cheng-da,2.7 ,-,finance,Taiwan
887,Frank VanderSloot,2.7 ,69,nutrition and wellness products,United States
887,Sandro Veronesi,2.7 ,58,fashion,Italy
887,Ty Warner,2.7 ,73,"real estate, plush toys",United States
887,Oprah Winfrey,2.7 ,64,TV shows,United States
887,Zhang Wenzhong,2.7 ,56,Retail,China
887,Zuo Hui,2.7 ,47,real estate services,China
924,Juan Abello,2.6 ,76,investments,Spain
924,Semahat Sevim Arsel,2.6 ,89,diversified,Turkey
924,Bang Jun-Hyuk,2.6 ,50,online gaming,South Korea
924,Koos Bekker,2.6 ,65,"media, investments",South Africa
924,David Bonderman,2.6 ,75,private equity,United States
924,Francesco Gaetano Caltagirone,2.6 ,75,"cement, diversified",Italy
924,John Caudwell,2.6 ,65,mobile phones,United Kingdom
924,Chen Fashu,2.6 ,57,investments,China
924,Chung Eui-Sun,2.6 ,47,logistics,South Korea
924,Isabel dos Santos,2.6 ,45,investments,Angola
924,Fong Yun Wah,2.6 ,93,real estate,Hong Kong
924,Phillip Frost,2.6 ,81,pharmaceuticals,United States
924,Lutz Mario Helmig,2.6 ,71,hospitals,Germany
924,B. Wayne Hughes,2.6 ,84,self storage,United States
924,Daniel Kretinsky,2.6 ,42,energy generation,Czech Republic
924,Raj Kumar & Kishin RK,2.6 ,64,real estate,Singapore
924,Lam Kong,2.6 ,54,pharmaceuticals,China
924,Lau Cho Kun,2.6 ,82,"palm oil, property",Malaysia
924,"Stephen Mandel, Jr.",2.6 ,62,hedge funds,United States
924,Gilles Martin,2.6 ,54,laboratory services,France
924,Daniel Mate,2.6 ,55,"mining, commodities",Spain
924,Robert Miller,2.6 ,72,electronics components,Canada
924,Jorge Moll Filho,2.6 ,73,hospitals,Brazil
924,Maria Helena Moraes Scripilliti,2.6 ,87,diversified,Brazil
924,Sean Parker,2.6 ,38,Facebook,United States
924,Jay Paul,2.6 ,70,real estate,United States
924,Patrick Ryan,2.6 ,81,insurance,United States
924,Thomas Secunda,2.6 ,63,Bloomberg LP,United States
924,Shen Wenrong,2.6 ,72,steel production,China
924,Shen Yuxing,2.6 ,59,real estate,China
924,Gil Shwed,2.6 ,50,software,Israel
924,Song Zuowen,2.6 ,71,"aluminum, diversified",China
924,Warren Stephens,2.6 ,61,investment banking,United States
924,Glen Taylor,2.6 ,77,printing,United States
924,Hanni Toosbuy Kasprzak,2.6 ,60,shoes,Denmark
924,Torbjorn Tornqvist,2.6 ,64,oil trading,Sweden
924,Bulat Utemuratov,2.6 ,60,"mining, banking, hotels",Kazakhstan
924,Chip Wilson,2.6 ,61,Lululemon,Canada
924,Jerry Yang,2.6 ,49,Yahoo,United States
924,Zhang Fan,2.6 ,52,touch screens,China
924,Zhu Xingliang,2.6 ,59,construction,China
965,Ramon Ang,2.5 ,64,Diversified,Philippines
965,Edward Bass,2.5 ,72,"oil, investments",United States
965,Lee Bass,2.5 ,62,"oil, investments",United States
965,Bert Beveridge,2.5 ,56,vodka,United States
965,George Bishop,2.5 ,80,oil & gas,United States
965,Jaime Botin,2.5 ,82,banking,Spain
965,Norman Braman,2.5 ,85,"art, car dealerships",United States
965,Chin Jong Hwa,2.5 ,60,auto parts,Taiwan
965,Cho Tak Wong,2.5 ,72,auto parts,Hong Kong
965,John Coates,2.5 ,48,online gambling,United Kingdom
